M4,-9.999136,54.999966,2018-11-14T12:00:00Z,999.146,NaN,NaN,NaN,3.125,5.859,207.0,5.156,13.354,NaN,NaN,NaN,93.359,0.0
M2,-5.4302,53.4836,2018-11-14T12:00:00Z,1011.755,174.0,26.944,34.913,NaN,NaN,NaN,NaN,13.047,NaN,12.861,NaN,91.016,0.0
M3,-10.548261,51.215958,2018-11-14T12:00:00Z,1006.03,172.0,25.9,34.012,4.688,7.383,194.0,6.797,13.594,NaN,12.441,NaN,96.094,0.0
M3,-10.548261,51.215958,2018-11-14T13:00:00Z,1006.14,177.0,25.616,32.447,4.219,6.914,193.0,6.094,13.662,NaN,12.441,NaN,96.094,0.0
M4,-9.999136,54.999966,2018-11-14T13:00:00Z,999.072,NaN,NaN,NaN,3.281,6.094,211.0,5.156,13.73,NaN,NaN,NaN,90.234,0.0
M2,-5.4302,53.4836,2018-11-14T13:00:00Z,1011.304,190.0,24.288,32.826,NaN,NaN,NaN,NaN,12.754,NaN,12.861,NaN,94.141,0.0
M5,-6.704336,51.690426,2018-11-14T13:00:00Z,1013.269,193.0,23.718,29.79,3.906,6.914,207.0,6.328,13.291,NaN,13.125,NaN,87.5,0.0
M4,-9.999136,54.999966,2018-11-14T14:00:00Z,998.413,NaN,NaN,NaN,3.281,6.211,210.0,4.922,13.73,NaN,NaN,NaN,89.844,0.0
M2,-5.4302,53.4836,2018-11-14T14:00:00Z,1011.548,186.0,25.426,33.016,NaN,NaN,NaN,NaN,12.754,NaN,12.861,NaN,93.75,0.0
M5,-6.704336,51.690426,2018-11-14T14:00:00Z,1013.0,190.0,23.339,31.118,3.75,6.68,203.0,6.094,13.242,NaN,13.125,NaN,87.5,0.0
M3,-10.548261,51.215958,2018-11-14T14:00:00Z,1005.847,178.0,24.62,31.877,4.844,7.617,198.0,7.031,13.662,NaN,12.441,NaN,95.313,0.0
M3,-10.548261,51.215958,2018-11-14T15:00:00Z,1005.884,178.0,23.054,33.3,5.0,7.5,197.0,7.266,13.525,NaN,12.441,NaN,96.094,0.0
M4,-9.999136,54.999966,2018-11-14T15:00:00Z,997.827,NaN,NaN,NaN,3.906,6.563,210.0,5.391,14.004,NaN,NaN,NaN,87.891,0.0
M2,-5.4302,53.4836,2018-11-14T15:00:00Z,1011.401,156.0,19.923,26.944,NaN,NaN,NaN,NaN,12.754,NaN,12.861,NaN,92.969,0.0
M5,-6.704336,51.690426,2018-11-14T15:00:00Z,1012.915,189.0,22.2,30.17,4.063,7.031,205.0,6.797,13.145,NaN,13.125,NaN,88.281,0.0
M3,-10.548261,51.215958,2018-11-14T16:00:00Z,1006.323,180.0,22.058,31.166,4.688,7.383,197.0,7.734,13.56,NaN,12.407,NaN,96.875,0.0
M2,-5.4302,53.4836,2018-11-14T16:00:00Z,1011.719,183.0,22.77,30.739,NaN,NaN,NaN,NaN,13.047,NaN,12.861,NaN,89.844,0.0
M5,-6.704336,51.690426,2018-11-14T16:00:00Z,1012.988,189.0,21.631,29.031,3.75,6.797,211.0,6.094,13.145,NaN,13.125,NaN,88.672,0.0
M4,-9.999136,54.999966,2018-11-14T16:00:00Z,998.193,NaN,NaN,NaN,3.75,6.445,207.0,5.156,13.867,NaN,NaN,NaN,90.234,0.0
M4,-9.999136,54.999966,2018-11-14T17:00:00Z,998.34,NaN,NaN,NaN,4.219,6.563,201.0,5.625,13.799,NaN,NaN,NaN,89.453,0.0
M5,-6.704336,51.690426,2018-11-14T17:00:00Z,1012.817,181.0,21.821,28.272,3.906,7.031,211.0,6.094,13.096,NaN,13.125,NaN,88.672,0.0
M3,-10.548261,51.215958,2018-11-14T17:00:00Z,1006.396,188.0,19.781,26.043,5.156,7.617,203.0,8.672,13.799,NaN,12.441,NaN,95.313,0.0
M2,-5.4302,53.4836,2018-11-14T17:00:00Z,1011.865,183.0,21.252,30.359,NaN,NaN,NaN,NaN,13.145,NaN,12.861,NaN,88.281,0.0
M2,-5.4302,53.4836,2018-11-14T18:00:00Z,1012.585,177.0,22.39,30.17,NaN,NaN,NaN,NaN,13.193,NaN,12.861,NaN,87.109,0.0
M3,-10.548261,51.215958,2018-11-14T18:00:00Z,1007.056,187.0,17.077,23.908,5.0,7.5,207.0,8.203,13.696,NaN,12.441,NaN,95.703,0.0
M4,-9.999136,54.999966,2018-11-14T18:00:00Z,999.036,NaN,NaN,NaN,4.688,6.914,204.0,6.563,13.491,NaN,NaN,NaN,89.844,0.0
M5,-6.704336,51.690426,2018-11-14T18:00:00Z,1013.525,189.0,21.821,28.462,3.75,6.914,208.0,6.328,13.145,NaN,13.125,NaN,89.063,0.0
M4,-9.999136,54.999966,2018-11-14T19:00:00Z,1000.83,NaN,NaN,NaN,4.219,6.797,205.0,5.859,13.081,NaN,NaN,NaN,83.203,0.0
M5,-6.704336,51.690426,2018-11-14T19:00:00Z,1013.708,195.0,20.682,26.944,4.219,7.383,212.0,6.094,13.193,NaN,13.125,NaN,89.453,0.0
M3,-10.548261,51.215958,2018-11-14T19:00:00Z,1007.715,183.0,15.654,22.2,4.688,7.5,207.0,7.266,13.491,NaN,12.441,NaN,96.484,0.0
M2,-5.4302,53.4836,2018-11-14T19:00:00Z,1012.683,183.0,21.631,27.323,NaN,NaN,NaN,NaN,13.242,NaN,12.861,NaN,86.719,0.0
M3,-10.548261,51.215958,2018-11-14T20:00:00Z,1007.825,188.0,11.527,15.796,4.688,7.734,203.0,7.031,12.705,NaN,12.441,NaN,96.094,0.0
M4,-9.999136,54.999966,2018-11-14T20:00:00Z,1002.332,NaN,NaN,NaN,4.219,7.031,212.0,5.625,12.432,NaN,NaN,NaN,79.688,0.0
M5,-6.704336,51.690426,2018-11-14T20:00:00Z,1013.66,194.0,20.303,25.995,3.438,6.563,214.0,5.391,13.291,NaN,13.125,NaN,89.453,0.0
M2,-5.4302,53.4836,2018-11-14T20:00:00Z,1012.952,181.0,21.821,30.549,NaN,NaN,NaN,NaN,13.242,NaN,12.861,NaN,86.328,0.0
M5,-6.704336,51.690426,2018-11-14T21:00:00Z,1013.611,178.0,18.975,25.046,3.594,6.797,215.0,5.625,13.193,NaN,13.125,NaN,91.016,0.0
M3,-10.548261,51.215958,2018-11-14T21:00:00Z,1007.898,181.0,10.958,14.8,4.063,7.266,210.0,5.391,12.91,NaN,12.441,NaN,94.141,0.0
M4,-9.999136,54.999966,2018-11-14T21:00:00Z,1003.503,NaN,NaN,NaN,3.906,6.797,218.0,4.922,12.056,NaN,NaN,NaN,82.422,0.0
M2,-5.4302,53.4836,2018-11-14T21:00:00Z,1013.306,188.0,22.2,31.877,NaN,NaN,NaN,NaN,13.242,NaN,12.861,NaN,87.109,0.0
M2,-5.4302,53.4836,2018-11-14T22:00:00Z,1012.549,187.0,22.77,32.067,NaN,NaN,NaN,NaN,13.096,NaN,12.861,NaN,88.672,0.0
M3,-10.548261,51.215958,2018-11-14T22:00:00Z,1008.044,170.0,10.816,14.516,4.063,7.617,212.0,7.266,13.013,NaN,12.407,NaN,96.094,0.0
M4,-9.999136,54.999966,2018-11-14T22:00:00Z,1004.309,NaN,NaN,NaN,3.906,7.383,218.0,7.734,12.021,NaN,NaN,NaN,82.031,0.0
M5,-6.704336,51.690426,2018-11-14T22:00:00Z,1013.403,188.0,19.164,24.857,3.594,6.797,211.0,6.094,13.193,NaN,13.125,NaN,91.406,0.0
M3,-10.548261,51.215958,2018-11-14T23:00:00Z,1008.228,186.0,14.231,19.212,3.75,7.5,212.0,5.625,13.115,NaN,12.441,NaN,96.484,0.0
M2,-5.4302,53.4836,2018-11-14T23:00:00Z,1012.634,189.0,22.959,29.031,NaN,NaN,NaN,NaN,13.096,NaN,12.861,NaN,89.844,0.0
M4,-9.999136,54.999966,2018-11-14T23:00:00Z,1004.895,NaN,NaN,NaN,4.375,7.734,219.0,6.094,11.987,NaN,NaN,NaN,79.688,0.0
M5,-6.704336,51.690426,2018-11-14T23:00:00Z,1013.538,186.0,19.734,25.046,3.125,6.328,212.0,4.688,13.145,NaN,13.125,NaN,91.797,0.0
M5,-6.704336,51.690426,2018-11-15T00:00:00Z,1013.647,185.0,19.734,25.236,3.281,6.563,217.0,5.391,13.193,NaN,13.125,NaN,90.234,0.0
M2,-5.4302,53.4836,2018-11-15T00:00:00Z,1012.158,190.0,25.805,32.826,NaN,NaN,NaN,NaN,12.949,NaN,12.861,NaN,91.406,0.0
M3,-10.548261,51.215958,2018-11-15T00:00:00Z,1008.337,178.0,13.662,17.646,3.75,7.852,214.0,5.859,13.047,NaN,12.339,NaN,96.094,0.0
M4,-9.999136,54.999966,2018-11-15T00:00:00Z,1005.334,NaN,NaN,NaN,4.219,7.852,217.0,5.859,11.919,NaN,NaN,NaN,81.25,0.0
M2,-5.4302,53.4836,2018-11-15T01:00:00Z,1012.646,184.0,22.77,28.082,NaN,NaN,NaN,NaN,13.047,NaN,12.861,NaN,89.453,0.0
M4,-9.999136,54.999966,2018-11-15T01:00:00Z,1006.104,NaN,NaN,NaN,4.375,8.203,224.0,6.563,11.953,NaN,NaN,NaN,83.984,0.0
M5,-6.704336,51.690426,2018-11-15T01:00:00Z,1013.574,182.0,22.58,30.17,3.594,6.797,212.0,5.625,13.145,NaN,13.125,NaN,89.453,0.0
M3,-10.548261,51.215958,2018-11-15T01:00:00Z,1008.008,166.0,13.092,17.362,4.063,8.203,221.0,5.859,12.944,NaN,12.339,NaN,96.484,0.0
M2,-5.4302,53.4836,2018-11-15T02:00:00Z,1012.415,185.0,22.011,27.703,NaN,NaN,NaN,NaN,13.096,NaN,12.861,NaN,88.281,0.0
M3,-10.548261,51.215958,2018-11-15T02:00:00Z,1007.312,162.0,12.95,17.504,4.063,8.203,224.0,7.734,12.773,NaN,12.339,NaN,96.484,0.0
M5,-6.704336,51.690426,2018-11-15T02:00:00Z,1013.525,184.0,21.441,27.323,3.281,6.68,214.0,4.453,13.096,NaN,13.125,NaN,88.672,0.0
M4,-9.999136,54.999966,2018-11-15T02:00:00Z,1005.811,NaN,NaN,NaN,4.531,8.555,222.0,5.859,11.885,NaN,NaN,NaN,84.766,0.0
M5,-6.704336,51.690426,2018-11-15T03:00:00Z,1013.245,181.0,20.682,28.462,3.125,6.445,211.0,4.219,12.998,NaN,13.125,NaN,90.234,0.0
M3,-10.548261,51.215958,2018-11-15T03:00:00Z,1006.909,170.0,13.092,16.793,4.219,8.438,224.0,6.328,12.432,NaN,12.305,NaN,97.266,0.0
M4,-9.999136,54.999966,2018-11-15T03:00:00Z,1005.408,NaN,NaN,NaN,4.375,8.672,229.0,6.094,11.851,NaN,NaN,NaN,86.719,0.0
M2,-5.4302,53.4836,2018-11-15T03:00:00Z,1011.731,181.0,23.908,31.498,NaN,NaN,NaN,NaN,13.047,NaN,12.861,NaN,87.5,0.0
M3,-10.548261,51.215958,2018-11-15T04:00:00Z,1006.36,166.0,12.523,16.793,3.906,8.086,228.0,5.859,12.603,NaN,12.305,NaN,98.047,0.0
M2,-5.4302,53.4836,2018-11-15T04:00:00Z,1011.047,174.0,26.564,33.585,NaN,NaN,NaN,NaN,12.998,NaN,12.861,NaN,85.938,0.0
M4,-9.999136,54.999966,2018-11-15T04:00:00Z,1005.334,NaN,NaN,NaN,4.531,8.789,232.0,6.797,11.816,NaN,NaN,NaN,88.672,0.0
M5,-6.704336,51.690426,2018-11-15T04:00:00Z,1013.135,177.0,22.39,28.462,3.594,6.797,217.0,5.156,12.803,NaN,13.125,NaN,88.281,0.0
M2,-5.4302,53.4836,2018-11-15T05:00:00Z,1011.658,171.0,26.944,36.241,NaN,NaN,NaN,NaN,13.047,NaN,12.861,NaN,83.984,0.0
M3,-10.548261,51.215958,2018-11-15T05:00:00Z,1005.994,194.0,15.512,24.335,4.063,7.5,226.0,6.094,12.705,NaN,12.305,NaN,97.266,0.0
M4,-9.999136,54.999966,2018-11-15T05:00:00Z,1004.895,NaN,NaN,NaN,4.531,9.258,238.0,6.797,11.611,NaN,NaN,NaN,90.234,0.0
M5,-6.704336,51.690426,2018-11-15T05:00:00Z,1012.83,178.0,21.631,27.893,3.75,7.031,218.0,6.797,12.803,NaN,13.125,NaN,89.453,0.0
M3,-10.548261,51.215958,2018-11-15T06:00:00Z,1006.213,189.0,12.95,17.077,4.531,8.086,236.0,6.094,12.466,NaN,12.373,NaN,97.656,0.0
M2,-5.4302,53.4836,2018-11-15T06:00:00Z,1012.769,170.0,22.2,28.272,NaN,NaN,NaN,NaN,13.047,NaN,12.861,NaN,85.938,0.0
M4,-9.999136,54.999966,2018-11-15T06:00:00Z,1004.712,NaN,NaN,NaN,4.844,9.375,236.0,6.563,11.304,NaN,NaN,NaN,93.359,0.0
M5,-6.704336,51.690426,2018-11-15T06:00:00Z,1012.903,175.0,21.252,27.323,3.438,6.68,207.0,4.453,12.9,NaN,13.096,NaN,90.234,0.0
M5,-6.704336,51.690426,2018-11-15T07:00:00Z,1012.646,177.0,21.062,26.185,3.75,6.914,211.0,5.391,12.998,NaN,13.096,NaN,90.625,0.0
M2,-5.4302,53.4836,2018-11-15T07:00:00Z,1013.159,167.0,23.339,30.17,NaN,NaN,NaN,NaN,12.949,NaN,12.861,NaN,85.156,0.0
M3,-10.548261,51.215958,2018-11-15T07:00:00Z,1006.433,202.0,11.527,17.931,4.531,8.086,238.0,6.563,12.124,NaN,12.407,NaN,97.656,0.0
M4,-9.999136,54.999966,2018-11-15T07:00:00Z,1003.723,NaN,NaN,NaN,4.688,9.609,243.0,6.328,11.338,NaN,NaN,NaN,92.969,0.0
M2,-5.4302,53.4836,2018-11-15T08:00:00Z,1013.538,170.0,21.062,28.462,NaN,NaN,NaN,NaN,12.9,NaN,12.861,NaN,86.328,0.0
M3,-10.548261,51.215958,2018-11-15T08:00:00Z,1007.422,230.0,15.796,21.204,4.375,7.852,232.0,5.859,11.714,NaN,12.407,NaN,94.141,0.0
M4,-9.999136,54.999966,2018-11-15T08:00:00Z,1003.247,NaN,NaN,NaN,4.531,9.492,245.0,7.5,10.244,NaN,NaN,NaN,94.922,0.0
M5,-6.704336,51.690426,2018-11-15T08:00:00Z,1012.634,176.0,21.252,28.272,3.75,6.914,214.0,5.625,13.34,NaN,13.096,NaN,88.672,0.0
M3,-10.548261,51.215958,2018-11-15T09:00:00Z,1008.557,238.0,17.931,24.904,4.219,7.734,240.0,6.094,10.928,NaN,12.407,NaN,88.672,0.0
M4,-9.999136,54.999966,2018-11-15T09:00:00Z,1002.698,NaN,NaN,NaN,4.063,8.906,246.0,5.625,10.62,NaN,NaN,NaN,96.094,0.0
M5,-6.704336,51.690426,2018-11-15T09:00:00Z,1012.854,174.0,20.113,25.616,3.75,6.797,217.0,5.625,13.145,NaN,13.096,NaN,90.625,0.0
M2,-5.4302,53.4836,2018-11-15T09:00:00Z,1013.745,169.0,20.113,25.995,NaN,NaN,NaN,NaN,12.9,NaN,12.861,NaN,85.938,0.0
M2,-5.4302,53.4836,2018-11-15T10:00:00Z,1013.55,161.0,19.544,25.995,NaN,NaN,NaN,NaN,12.705,NaN,12.861,NaN,88.672,0.0
M3,-10.548261,51.215958,2018-11-15T10:00:00Z,1008.594,190.0,14.516,19.639,4.531,7.969,245.0,6.797,11.953,NaN,12.407,NaN,83.203,0.0
M4,-9.999136,54.999966,2018-11-15T10:00:00Z,1003.467,NaN,NaN,NaN,4.063,9.023,250.0,7.266,10.483,NaN,NaN,NaN,94.922,0.0
M5,-6.704336,51.690426,2018-11-15T10:00:00Z,1012.781,170.0,21.631,27.513,4.219,7.617,219.0,7.5,13.047,NaN,13.096,NaN,90.234,0.0
